Match Time in Seconds,Gi/No Gi,Skill / Belt,Division,Submission,Team,Conference,Year
195,GI,ADVANCED,JUVENILE,AMERICANA LOCK,NA,RALEIGH 2018,2018
25,GI ,ADVANCED,JUVENILE ,AMERICANA LOCK,NA,RALEIGH 2016,2016
302,NO GI,ADVANCED,MEN,AMERICANA LOCK,FLOW JIU JITSU,PHILLY 2010,2010
837,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,GREENSBORO 2015,2015
200,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2016,2016
99,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RALEIGH 2016,2016
727,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RICHMOND 2016,2016
1425,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
1291,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
162,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
91,NO GI,ADVANCED,WOMEN,AMERICANA LOCK,NA,CHARLOTTE 2017,2017
130,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2017,2017
37,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,VIRGINIA BEACH 2017,2017
216,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RICHMOND 2017,2017
1395,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RALEIGH 2018,2018
593,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,RALEIGH 2018,2018
1068,NO GI,ADVANCED,WOMEN,AMERICANA LOCK,NA,RICHMOND 2018,2018
1172,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
2888,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
180,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
186,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,RICHMOND 2018,2018
193,NO GI,ADVANCED,MEN 30+,AMERICANA LOCK,NA,GREENSBORO 2019,2019
477,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,GREENSBORO 2019,2019
253,NO GI,ADVANCED,MEN,AMERICANA LOCK,NA,GREENSBORO 2019,2019
60,NO GI,ADVANCED,JUVENILE ,AMERICANA LOCK,NA,RALEIGH 2016,2016
56,NO GI,ADVANCED,JUVENILE,AMERICANA LOCK,NA,RALEIGH 2018,2018
510,NO GI,ADVANCED,MEN,ANKLE LOCK,DADDIS FIGHT CAMPS,PHILLY 2010,2010
1920,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
681,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
330,NO GI,ADVANCED,MEN 30+,ANKLE LOCK,NA,RICHMOND 2013,2013
1065,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2016,2016
260,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
183,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,CHARLOTTE 2017,2017
116,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
849,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
530,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
438,NO GI,ADVANCED,MEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
193,NO GI,ADVANCED,WOMEN,ANKLE LOCK,NA,VIRGINIA BEACH 2017,2017
80,NO GI,ADVANCED,WOMEN,ARMBAR,NA,CHARLOTTE 2017,2017
813,GI,ADVANCED,JUVENILE,ARM TRIANGLE,NA,COLUMBIA 2018,2018
191,NO GI,ADVANCED,MEN,ARM TRIANGLE,HELLFISH,PHILLY 2010,2010
503,NO GI,ADVANCED,WOMEN,ARM TRIANGLE,NA,RICHMOND 2013,2013
330,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,CHICAGO 2014,2014
1920,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHICAGO 2014,2014
330,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,CHICAGO 2014,2014
1920,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHICAGO 2014,2014
1661,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,VIRGINIA BEACH 2016,2016
1675,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHARLOTTE 2017,2017
537,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHARLOTTE 2017,2017
295,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,CHARLOTTE 2017,2017
165,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,VIRGINIA BEACH 2017,2017
1277,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,COLUMBIA 2018,2018
1101,NO GI,ADVANCED,MEN 30+,ARM TRIANGLE,NA,COLUMBIA 2018,2018
243,NO GI,ADVANCED,MEN,ARM TRIANGLE,NA,COLUMBIA 2018,2018
29,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2016,2016
75,GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2017,2017
43,GI,ADVANCED,JUVENILE,ARMBAR,NA,COLUMBIA 2018,2018
87,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
534,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
205,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
61,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
24,GI,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2019,2019
129,GI,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
211,GI,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
31,GI,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2016,2016
107,GI,ADVANCED,JUVENILE,ARMBAR,NA,CHICAGO 2014,2014
38,GI,ADVANCED,JUVENILE ,ARMBAR,NA,RALEIGH 2016,2016
58,GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2017,2017
1396,GI,ADVANCED,JUVENILE,ARMBAR,NA,COLUMBIA 2018,2018
43,GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
125,GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
30,GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
144,GI ,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
18,GI ,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
52,GI ,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
44,GI ,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
39,GI ,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
6,GI ,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
13,GI ,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
421,NO GI,ADVANCED,MEN,ARMBAR,TRIANGLE JIU JITSU,SUB ONLY VI,2010
740,NO GI,ADVANCED,MEN,ARMBAR,BJJ REVOLUTION,SUB ONLY VI,2010
1028,NO GI,ADVANCED,MEN,ARMBAR,BRASA,SUB ONLY VI,2010
1388,NO GI,ADVANCED,MEN 30+ ,ARMBAR,LIMAA,SUB ONLY VI,2010
3780,NO GI,ADVANCED,MEN,ARMBAR,TRIANGLE JIU JITSU,SUB ONLY VI,2010
1100,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
895,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
872,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
373,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2013,2013
246,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2013,2013
169,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2013,2013
108,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2013,2013
100,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2013,2013
3435,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
1068,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
260,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
277,NO GI,ADVANCED,MEN,ARMBAR,NA,CHICAGO 2014,2014
3435,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
1068,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
260,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHICAGO 2014,2014
277,NO GI,ADVANCED,MEN,ARMBAR,NA,CHICAGO 2014,2014
522,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,GREENSBORO 2014,2014
57,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2014,2014
97,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2014,2014
203,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2014,2014
598,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2014,2014
986,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2014,2014
485,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2014,2014
31,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
75,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
206,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
307,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
341,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
359,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
413,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
802,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
3780,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2014,2014
36,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2015,2015
482,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2015,2015
344,NO GI,ADVANCED,WOMEN,ARMBAR,NA,GREENSBORO 2015,2015
69,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2015,2015
391,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2015,2015
289,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,ORLANDO 2011,2011
94,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
513,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
489,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
248,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
516,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2015,2015
194,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2015,2015
207,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2015,2015
225,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2015,2015
315,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2015,2015
358,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2015,2015
660,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2015,2015
2170,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2015,2015
2606,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2015,2015
16,NO GI,ADVANCED,WOMEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
109,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
113,NO GI,ADVANCED,WOMEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
239,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
254,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
291,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
440,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2016,2016
1540,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,VIRGINIA BEACH 2016,2016
1212,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
592,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
582,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
497,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
286,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
198,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RALEIGH 2016,2016
147,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
135,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2016,2016
22,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2016,2016
38,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
291,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
330,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
454,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
932,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
1361,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,RICHMOND 2016,2016
2027,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2016,2016
932,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,CHARLOTTE 2017,2017
103,NO GI,ADVANCED,WOMEN,ARMBAR,NA,CHARLOTTE 2017,2017
73,NO GI,ADVANCED,WOMEN,ARMBAR,NA,CHARLOTTE 2017,2017
365,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2017,2017
1470,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2017,2017
857,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2017,2017
1330,NO GI,ADVANCED,MEN,ARMBAR,NA,VIRGINIA BEACH 2017,2017
198,NO GI,ADVANCED,WOMEN,ARMBAR,NA,VIRGINIA BEACH 2017,2017
203,NO GI,ADVANCED,WOMEN,ARMBAR,NA,VIRGINIA BEACH 2017,2017
232,NO GI,ADVANCED,WOMEN,ARMBAR,NA,VIRGINIA BEACH 2017,2017
1438,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
1278,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
425,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
391,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
364,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2017,2017
127,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2017,2017
43,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
43,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2017,2017
60,NO GI,ADVANCED,MEN 30+,ARMBAR,NA,COLUMBIA 2018,2018
68,NO GI,ADVANCED,MEN,ARMBAR,NA,COLUMBIA 2018,2018
263,NO GI,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2018,2018
300,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RALEIGH 2018,2018
1015,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2018,2018
354,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2018,2018
621,NO GI,ADVANCED,WOMEN,ARMBAR,NA,GREENSBORO 2018,2018
288,NO GI,ADVANCED,MEN,ARMBAR,NA,GREENSBORO 2018,2018
208,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
178,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2018,2018
5,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
62,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,RICHMOND 2018,2018
291,NO GI,ADVANCED,WOMEN,ARMBAR,NA,RICHMOND 2018,2018
516,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2018,2018
1407,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2018,2018
2214,NO GI,ADVANCED,MEN,ARMBAR,NA,RICHMOND 2018,2018
267,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,GREENSBORO 2019,2019
148,NO GI,ADVANCED,WOMEN,ARMBAR,NA,GREENSBORO 2019,2019
211,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,CHICAGO 2014,2014
215,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,CHICAGO 2014,2014
64,NO GI,ADVANCED,JUVENILE ,ARMBAR,NA,RALEIGH 2016,2016
11,NO GI,ADVANCED,JUVENILE ,ARMBAR,NA,RALEIGH 2016,2016
336,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,COLUMBIA 2018,2018
17,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
125,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,RALEIGH 2018,2018
13,NO GI,ADVANCED,JUVENILE,ARMBAR,NA,VIRGINIA BEACH 2018,2018
77,NO GI ,ADVANCED,WOMEN,ARMBAR,NA,RALEIGH 2017,2017
330,NO GI ,ADVANCED,MEN,ARMBAR,NA,RALEIGH 2017,2017
47,GI,ADVANCED,JUVENILE,ARMLOCK,NA,RICHMOND 2018,2018
28,GI,ADVANCED,JUVENILE,ARMLOCK,NA,GREENSBORO 2019,2019
765,NO GI,ADVANCED,MEN,ARMLOCK,NA,VIRGINIA BEACH 2016,2016
75,NO GI,ADVANCED,WOMEN,ARMLOCK,NA,VIRGINIA BEACH 2018,2018
360,NO GI,ADVANCED,MEN,ARMLOCK,NA,GREENSBORO 2018,2018
40,NO GI,ADVANCED,MEN,BANANA SPLIT,NA,RICHMOND 2014,2014
345,NO GI,ADVANCED,MEN,BASEBALL BAT CHOKE,NA,CHARLOTTE 2017,2017
329,NO GI,ADVANCED,MEN 30+,BASEBALL BAT CHOKE,NA,VIRGINIA BEACH 2018,2018
132,NO GI,ADVANCED,MEN,BICEP SLICER,NA,VIRGINIA BEACH 2015,2015
171,GI ,ADVANCED,JUVENILE,BOW AND ARROW,NA,GREENSBORO 2018,2018
61,GI,ADVANCED,JUVENILE,BOW AND ARROW CHOKE,NA,RALEIGH 2017,2017
36,GI,ADVANCED,JUVENILE,BOW AND ARROW CHOKE,NA,VIRGINIA BEACH 2016,2016
157,GI,ADVANCED,JUVENILE ,BOW AND ARROW CHOKE,NA,RALEIGH 2016,2016
162,GI ,ADVANCED,JUVENILE ,BOW AND ARROW CHOKE,NA,RALEIGH 2016,2016
240,NO GI,ADVANCED,MEN,BOX CHOKE,NA,GREENSBORO 2015,2015
153,NO GI,ADVANCED,MEN,BRABO CHOKE,BRASA,SUB ONLY VI,2010
831,NO GI,ADVANCED,MEN,BRABO CHOKE,PARAMOUNT JJ,PHILLY 2010,2010
310,NO GI,ADVANCED,MEN,BRABO CHOKE,PARAMOUNT JJ,PHILLY 2010,2010
163,NO GI,ADVANCED,MEN,BRABO CHOKE,HELLFISH,PHILLY 2010,2010
273,NO GI,ADVANCED,MEN 30+,BRABO CHOKE,NA,RICHMOND 2013,2013
70,NO GI,ADVANCED,MEN 30+,BRABO CHOKE,NA,RICHMOND 2013,2013
93,NO GI,ADVANCED,MEN ,BRABO CHOKE,NA,RICHMOND 2014,2014
102,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,VIRGINIA BEACH 2016,2016
7,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,RICHMOND 2016,2016
206,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,RICHMOND 2016,2016
3171,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,CHARLOTTE 2017,2017
223,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,RALEIGH 2017,2017
143,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,VIRGINIA BEACH 2017,2017
53,NO GI,ADVANCED,MEN,BRABO CHOKE,NA,RICHMOND 2017,2017
602,NO GI,ADVANCED,MEN 30+,BRABO CHOKE,NA,GREENSBORO 2014,2014
144,NO GI,ADVANCED,MEN,BRAVO,NA,GREENSBORO 2018,2018
146,GI,ADVANCED,JUVENILE,BREAD CUTTER CHOKE,NA,VIRGINIA BEACH 2016,2016
34,GI,ADVANCED,JUVENILE,BREAD CUTTER CHOKE,NA,VIRGINIA BEACH 2016,2016
90,NO GI,ADVANCED,MEN,CALF SLICER,NA,VIRGINIA BEACH 2016,2016
1715,NO GI,ADVANCED,MEN,CALF SLICER,NA,RICHMOND 2018,2018
232,NO GI,ADVANCED,MEN,CHICKEN WING CHOKE,NA,RALEIGH 2018,2018
547,NO GI,ADVANCED,MEN,CHOKE (non-descrip),DADDIS FIGHT CAMPS,PHILLY 2010,2010
320,NO GI,ADVANCED,MEN 30+,CHOKE (non-descrip),NA,RICHMOND 2013,2013
66,NO GI,ADVANCED,MEN,CHOKE (non-descrip),NA,RICHMOND 2013,2013
141,NO GI,ADVANCED,MEN 30+,CHOKE (non-descrip),NA,CHICAGO 2014,2014
141,NO GI,ADVANCED,MEN 30+,CHOKE (non-descrip),NA,CHICAGO 2014,2014
96,NO GI,ADVANCED,MEN 30+,CHOKE (non-descrip),NA,RICHMOND 2018,2018
1460,NO GI,ADVANCED,WOMEN,CHOKE (non-descrip),NA,RICHMOND 2018,2018
285,NO GI,ADVANCED,MEN 30+,CHOKE (non-descrip),NA,RICHMOND 2018,2018
75,NO GI,ADVANCED,WOMEN,CHOKE (non-descrip),NA,GREENSBORO 2019,2019
502,NO GI,ADVANCED,MEN,CLOVER LEAF,NA,RALEIGH 2018,2018
45,GI,ADVANCED,JUVENILE,COLLAR CHOKE,NA,RICHMOND 2018,2018
90,GI,ADVANCED,JUVENILE,COLLAR CHOKE,NA,RALEIGH 2018,2018
256,NO GI,ADVANCED,MEN,CORKSCREW,NA,RALEIGH 2018,2018
863,NO GI,ADVANCED,MEN,CRUCIFIX,LIMAA,SUB ONLY VI,2010
940,NO GI,ADVANCED,MEN,CRUNCH ARMBAR,NA,GREENSBORO 2019,2019
73,NO GI,ADVANCED,MEN 30+,D'ARCE,NA,CHICAGO 2014,2014
73,NO GI,ADVANCED,MEN 30+,D'ARCE,NA,CHICAGO 2014,2014
431,NO GI,ADVANCED,MEN,D'ARCE,NA,GREENSBORO 2015,2015
569,NO GI,ADVANCED,MEN,D'ARCE,NA,GREENSBORO 2015,2015
128,NO GI,ADVANCED,MEN,D'ARCE,NA,RICHMOND 2015,2015
871,NO GI,ADVANCED,MEN,D'ARCE,NA,RICHMOND 2015,2015
885,NO GI,ADVANCED,MEN,D'ARCE,NA,RICHMOND 2015,2015
1487,NO GI,ADVANCED,MEN 30+,D'ARCE,NA,RICHMOND 2017,2017
282,NO GI,ADVANCED,MEN,D'ARCE,NA,GREENSBORO 2018,2018
536,NO GI,ADVANCED,WOMEN,D'ARCE,NA,RICHMOND 2018,2018
1845,NO GI,ADVANCED,MEN,D'ARCE,NA,RICHMOND 2018,2018
204,NO GI,ADVANCED,MEN,D'ARCE,NA,RICHMOND 2018,2018
284,NO GI,ADVANCED,MEN,D'ARCE,NA,GREENSBORO 2019,2019
214,NO GI ,ADVANCED,MEN 30+,D'ARCE,NA,RALEIGH 2017,2017
815,NO GI,ADVANCED,MEN 30+,DQ,NA,RICHMOND 2013,2013
85,NO GI,ADVANCED,JUVENILE,DQ,NA,GREENSBORO 2018,2018
1531,NO GI,ADVANCED,MEN,EXHAUSTION,NA,RALEIGH 2018,2018
30,GI,ADVANCED,JUVENILE,EZEKIEL CHOKE,NA,RALEIGH 2017,2017
173,GI,ADVANCED,JUVENILE,EZEKIEL CHOKE,NA,COLUMBIA 2018,2018
95,NO GI,ADVANCED,MEN 30+,EZEKIEL CHOKE,NA,CHICAGO 2014,2014
95,NO GI,ADVANCED,MEN 30+,EZEKIEL CHOKE,NA,CHICAGO 2014,2014
1850,NO GI,ADVANCED,MEN,EZEKIEL CHOKE,NA,RICHMOND 2015,2015
1052,NO GI,ADVANCED,MEN 30+,EZEKIEL CHOKE,NA,RICHMOND 2016,2016
845,NO GI,ADVANCED,MEN,EZEKIEL CHOKE,NA,RALEIGH 2017,2017
363,NO GI,ADVANCED,MEN,EZEKIEL CHOKE,NA,VIRGINIA BEACH 2017,2017
373,NO GI,ADVANCED,MEN,EZEKIEL CHOKE,NA,RALEIGH 2018,2018
62,NO GI,ADVANCED,MEN,EZEKIEL CHOKE,NA,RICHMOND 2018,2018
54,NO GI ,ADVANCED,MEN 30+,EZEKIEL CHOKE,NA,RALEIGH 2017,2017
207,NO GI,ADVANCED,MEN,FINGER CHOKE,NA,CHARLOTTE 2017,2017
56,NO GI,ADVANCED,MEN,FLYING ARMBAR,NA,GREENSBORO 2015,2015
633,NO GI,ADVANCED,MEN,FOOTLOCK,BRASA,SUB ONLY VI,2010
,NO GI,ADVANCED,MEN,FORFEIT,BALTIMORE BJJ,PHILLY 2010,2010
,NO GI,ADVANCED,WOMEN,FORFEIT,NEXT GEN MMA,PHILLY 2010,2010
,NO GI,ADVANCED,MEN,FORFEIT,NA,RICHMOND 2015,2015
,NO GI,ADVANCED,MEN,FORFEIT,NA,RICHMOND 2015,2015
,NO GI,ADVANCED,MEN,FORFEIT,NA,RICHMOND 2015,2015
,NO GI,ADVANCED,MEN,FORFEIT,NA,RICHMOND 2015,2015
,NO GI,ADVANCED,WOMEN,FORFEIT,NA,RICHMOND 2015,2015
,NO GI,ADVANCED,MEN,FORFEIT,NA,RALEIGH 2016,2016
120,NO GI,ADVANCED,MEN,FORFEIT,NA,RICHMOND 2016,2016
2,NO GI,ADVANCED,MEN,FORFEIT,NA,GREENSBORO 2018,2018
0,NO GI,ADVANCED,MEN 30+,FORFEIT,NA,RICHMOND 2018,2018
0,NO GI ,ADVANCED,MEN,FORFEIT,NA,RALEIGH 2017,2017
124,NO GI,ADVANCED,MEN,FRONT CHOKE,CAPITAL JIU JITSU,SUB ONLY VI,2010
150,NO GI,ADVANCED,MEN,GOGOPLATA,RAM,SUB ONLY VI,2010
,GI,ADVANCED,JUVENILE,GUILLOTINE,NA,VIRGINIA BEACH 2015,2015
61,GI,ADVANCED,JUVENILE,GUILLOTINE,NA,RICHMOND 2017,2017
713,NO GI,ADVANCED,MEN,GUILLOTINE,NA,GREENSBORO 2019,2019
29,NO GI,ADVANCED,MEN 30+ ,GUILLOTINE,BALANCE,SUB ONLY VI,2010
383,NO GI,ADVANCED,MEN,GUILLOTINE,BALANCE,SUB ONLY VI,2010
417,NO GI,ADVANCED,MEN,GUILLOTINE,BRASA,SUB ONLY VI,2010
